87		18
528		9
182		14
310		18
79		15
102		7
251		11
424		9
129		17
266		3
62		12
239		6
333		6
387		16
104		4
461		6
206		11
24		8
538		8
94		13
451		8
90		16
516		1
329		14
468		5
496		15
272		1
527		7
282		4
148		5
23		5
35		20
440		8
307		10
315		9
436		1
288		17
310		5
190		3
59		18
384		10
30		15
441		16
179		8
5		14
258		18
10		19
178		5
506		9
37		5
37		20
429		4
148		16
510		18
295		10
71		9
275		11
486		12
272		7
280		4
374		16
534		17
213		3
291		11
347		19
150		19
182		15
90		18
235		1
282		20
88		2
52		12
376		14
460		17
352		7
382		19
427		5
259		7
469		12
510		1
259		8
42		19
157		12
153		12
423		3
304		14
478		10
255		7
43		13
111		14
64		7
503		12
250		2
513		2
462		10
377		2
293		13
236		19
242		1
455		8
